D1	D2	RR	direction_yes_no	p5years	p.value.direction	AGE_AT_D1	counts	female_counts	CODE_DIFF_DAYS	death_counts
A41	J10	2.09847	1	3.32408495963002e-105	7.085286e-11	19932.07	599	253	431.77	161
A46	A04	1.4162	1	6.67015231263368e-51	1.096688e-48	26854	1071	597	480.28	713
A46	A41	1.76822	1	4.94065645841247e-324	2.621222e-162	25515.3	6952	3052	482.62	4417
A46	A49	1.93635	1	0	3.616517e-42	24055.5	3185	1361	458.54	1398
A46	B95	3.38402	1	9.81206955490432e-165	1.652302e-08	21733.08	362	153	412.96	127
A46	B96	1.73743	1	2.00900484330382e-38	2.14022e-14	25771.74	292	143	610.47	172
A46	D64	1.2125	1	2.02381876499129e-89	1.115142e-10	26881.1	4976	2584	537.04	3203
A46	E46	2.27634	1	9.64430274926718e-41	1.250657e-08	25406.98	184	89	441.35	104
A46	E68	1.53246	1	6.43739850589661e-10	1.774204e-07	17081.21	96	62	975.23	nan
A46	E86	1.17636	1	1.64151178897841e-68	3.256059e-122	28114.79	6001	3455	551.11	4277
A46	E87	1.36284	1	3.31050227398237e-146	1.743735e-42	25966.67	3644	1897	522.27	2171
A46	F03	1.18746	1	4.00097390964276e-30	1.382194e-52	29769.98	2443	1514	533.84	1912
A46	F05	1.32882	1	1.30301329838339e-37	3.11195e-44	28392.12	1183	557	497.72	826
A46	G47	1.28879	1	1.90548924660921e-67	4.325858e-31	21116.28	1525	435	734.31	456
A46	I46	1.23249	1	1.02205745158975e-19	1.780673e-239	24966.78	1042	368	667.46	948
A46	I51	1.23726	1	1.91282919917251e-13	8.162663e-10	25482.09	577	238	692.07	299
A46	I87	6.79285	1	0	5.872494e-13	24277.27	1255	602	462.86	475
A46	I89	8.8436	1	0	1.32639e-11	21203.69	1355	694	424.73	384
A46	J15	1.16971	1	3.95810756832892e-45	1.741253e-98	26311.29	4061	1835	634.32	2733
A46	J22	1.26932	1	1.02731355071787e-14	5.978341e-17	26002.29	514	243	647.58	322
A46	J96	1.2906	1	1.38114286587728e-136	5.575376e-239	25346.48	4127	1953	639.87	3018
A46	K72	2.06927	1	7.52750817561292e-160	7.911517e-33	21199.83	710	221	532.9	577
A46	L89	2.8289	1	4.94065645841247e-324	3.797e-80	26197.17	1810	904	562.46	1239
A46	L97	5.36134	1	0	1.230879e-61	25817.88	4372	2123	416.37	2292
A46	L98	4.53358	1	0	2.889806e-35	23953.93	2473	1171	452.04	1097
A46	M14	4.34267	1	2.68183289759403e-206	1.743335e-08	21423.33	279	87	532.59	81
A46	M86	3.89947	1	0	2.062359e-09	22583.76	804	268	440.77	316
A46	N17	1.75022	1	4.36731609094253e-186	4.685341e-59	25217.36	1642	663	523.52	1111
A46	N18	1.36223	1	4.56694168771777e-162	3.641628e-51	26526.91	2752	1069	600.72	1725
A46	N19	1.38786	1	3.58273036718604e-74	2.933876e-22	26035.2	1559	616	583.83	1137
A46	N28	1.46064	1	1.26311115578373e-39	1.184358e-16	26646.36	587	220	595.35	333
A46	N39	1.20083	1	2.26634522064449e-83	8.901525e-29	27026.49	5216	3089	599.83	3008
A49	F41	1.24754	1	1.14418281619236e-19	1.69409e-07	23621.04	1012	531	374.69	720
A49	I46	1.36455	1	4.92262096493199e-26	3.888697e-22	24938.65	911	306	425.84	782
A56	N87	1.76264	1	5.71204135287875e-14	8.930484e-28	8759.7	168	168	740.82	nan
A60	O91	2.05535	1	1.20986180539434e-12	4.827353e-14	10206.79	53	53	732.02	0
A63	C21	14.3384	1	1.849581105762e-261	2.890975e-26	18898	85	45	320.04	24
A63	C44	1.51948	1	1.18426728915882e-13	6.348313e-28	17592.82	111	49	717.15	nan
A63	C51	13.7814	1	1.12223565551261e-154	4.697659e-08	17298.31	59	59	332.15	nan
A63	D07	12.8298	1	0	2.069919e-12	15079.97	191	162	450.04	nan
A63	F17	1.89634	1	2.80842962193236e-153	2.410662e-109	11624.91	698	495	656.49	29
A63	K60	1.34744	1	1.48094252532756e-24	3.743537e-20	11724.33	467	218	614.12	nan
A63	K62	1.22787	1	1.2643826797153e-12	1.00607e-39	13933.52	510	239	646.92	26
A63	K64	1.63381	1	3.80114846195434e-40	1.873295e-138	14198.66	351	194	704.04	nan
A63	L29	2.65026	1	3.04850453651698e-51	2.083079e-11	12999.52	137	91	637.78	nan
A63	L57	2.73292	1	5.37089789795682e-24	1.436046e-09	17295.75	53	27	770.43	nan
A63	L82	3.26285	1	4.6053291918345e-44	1.44024e-15	15209.79	94	37	526.37	nan
A63	N76	2.18477	1	4.90691542818741e-141	1.144285e-11	10294.5	553	553	505.46	nan
A63	N84	1.33667	1	4.34305198646152e-12	9.527324e-42	14447.76	272	272	603.16	nan
A63	N87	3.57043	1	0	3.985884e-30	10161.18	2147	2147	446.97	37
A63	N90	7.07274	1	0	3.184047e-16	13135.62	651	651	370.11	nan
A63	O98	1.84921	1	6.67830653108129e-15	1.49142e-16	9321.85	79	79	562.53	nan
A69	G62	2.01386	1	7.64794703793813e-23	1.627233e-07	21499.09	154	60	327.95	30
A69	G96	2.0844	1	1.6704350506392e-23	4.994691e-08	19130.52	132	71	333.36	nan
A86	B94	119.688	1	9.34817495030267e-218	7.134822e-08	15708.9	83	46	242.33	nan
A86	G09	83.2238	1	9.18376365284408e-88	3.798579e-09	15335.8	41	nan	398.22	nan
A87	B94	48.7199	1	1.0948374844471e-131	5.135682e-12	12087.84	63	36	243.27	nan
A87	G44	3.9177	1	1.3592595978045e-83	3.7079e-08	12262.57	176	104	342.32	nan
A87	G96	2.07638	1	2.62688145235507e-10	1.079732e-09	14706.23	79	46	398.61	nan
A87	H93	2.08313	1	2.39878228740655e-10	8.032817e-08	14172.85	52	26	498.29	nan
A88	G96	2.52299	1	9.18569543002127e-12	3.047549e-13	20414.29	52	nan	518.38	nan
A88	H91	1.5896	1	9.47932228002886e-22	2.397028e-17	24159.68	279	148	648.22	44
A88	I10	1.4035	1	1.60663421026735e-29	5.910052e-19	23954.83	669	406	490.54	106
B00	B94	52.0143	1	2.34614349159451e-261	6.093543e-09	21511.77	87	45	339.93	25
B00	G96	1.73656	1	1.28644183903798e-11	3.20875e-08	19167.76	116	70	440.16	27
B02	A49	1.49467	1	1.41249413412809e-21	1.493429e-08	25194.74	409	203	476.47	218
B02	E86	1.31952	1	3.03623182112422e-35	2.396429e-19	28973.12	1302	882	497.54	907
B02	F05	1.48178	1	1.37347861238116e-11	7.218678e-17	29334.84	212	110	520.34	150
B02	G53	62.592	1	0	1.23547e-14	26983.43	242	135	193.42	74
B02	J15	1.42691	1	2.22746407200914e-37	5.935042e-22	26617.71	849	432	606.44	575
B02	J96	1.21066	1	2.17280405907095e-11	2.01059e-37	25622.22	710	387	632.07	547
