D1	D2	RR	direction_yes_no	p5years	p.value.direction	AGE_AT_D1	counts	female_counts	CODE_DIFF_DAYS	death_counts
F10	J96	1.88347	1	9.88131291682493e-324	0	21468.16	7233	2074	556.03	4683
F10	J98	1.13261	1	1.69364894455316e-15	1.189731e-54	21128.66	932	252	604.13	518
F10	K02	1.36944	1	2.01783214369859e-111	1.245156e-140	17939.67	1183	284	807.39	514
F10	K04	1.14863	1	1.03502903821016e-22	2.829337e-92	18150.32	1075	268	792.74	404
F10	K05	1.12482	1	6.26252612711528e-16	1.580061e-146	19589.49	1129	273	772.53	544
F10	K08	1.22204	1	1.51931694719267e-35	1.484834e-83	17501.77	902	272	797.35	302
F10	K10	1.25266	1	1.55810487470193e-22	1.318995e-47	18451.1	394	116	808.79	169
F10	K12	1.40916	1	1.01704464136363e-59	4.532574e-41	16674.4	518	153	786.92	152
F10	K13	1.30389	1	1.20551227249279e-23	4.68409e-13	19208.92	354	110	830.84	100
F10	K14	1.68856	1	5.24150823171761e-37	1.199633e-08	18952.58	151	55	723.05	43
F10	K20	3.48229	1	4.94065645841247e-324	1.50143e-86	19330.39	3098	725	593.47	1275
F10	K21	1.65961	1	4.94065645841247e-324	3.713024e-96	18164.44	3830	1060	674.95	1079
F10	K22	2.30928	1	4.94065645841247e-324	9.105698e-151	20023.13	2243	522	649.77	980
F10	K25	2.65736	1	4.94065645841247e-324	5.250016e-51	20505.27	4936	1559	555.28	2264
F10	K27	3.3635	1	0	4.653362e-36	20417.36	1438	427	579.55	698
F10	K28	3.25032	1	0	2.846015e-22	20791.6	375	113	584.29	174
F10	K29	2.69784	1	4.94065645841247e-324	3.078094e-66	18201.04	7563	2282	581.23	2483
F10	K30	1.30153	1	1.86121261492004e-219	1.15503e-38	16727.02	2935	1033	716.85	651
F10	K31	1.19883	1	3.28939553839392e-18	2.504938e-52	20726.52	508	132	676.48	236
F10	K44	1.4961	1	4.94065645841247e-324	7.312917e-61	18911.37	2566	818	685.59	746
F10	K52	1.37717	1	1.324375784424e-257	2.27704e-112	19888.23	2408	986	664.1	884
F10	K55	1.21871	1	1.84558673641155e-16	2.690049e-77	22737.04	482	165	605.3	297
F10	K62	1.33521	1	4.56271819614249e-281	6.588448e-164	20055.55	3272	1056	664.12	1196
F10	K63	1.27593	1	4.6619626835123e-52	4.027004e-120	21420.95	888	304	652.79	392
F10	K65	1.54411	1	8.38631281288257e-271	1.410776e-139	20400.65	1609	533	573.78	1031
F10	K70	6.91711	1	9.88131291682493e-324	1.985516e-145	19749.62	14252	4401	427.94	7721
F10	K71	4.82024	1	0	4.940447e-73	18730.75	1107	462	528.65	544
F10	K72	4.91111	1	4.94065645841247e-324	0	20013.71	3993	1312	532.34	3059
F10	K73	1.9811	1	8.2804151299406e-135	1.208825e-09	18178.59	240	83	593.72	122
F10	K74	4.0247	1	4.94065645841247e-324	1.340903e-198	20410.43	3440	1144	540.99	2241
F10	K75	1.75465	1	2.22454305647042e-82	6.183949e-19	19104.6	250	76	574.46	104
F10	K76	3.08986	1	4.94065645841247e-324	7.012644e-201	19972.66	3173	1005	555.29	1601
F10	K86	3.82974	1	4.94065645841247e-324	2.671128e-80	18505.89	3598	842	544.62	1386
F10	K92	4.04478	1	4.94065645841247e-324	0	19338.88	8767	2344	558.21	4103
F10	L02	1.22314	1	9.21688871140961e-177	6.95646e-35	16263.25	4100	1141	770.01	1060
F10	L08	1.76609	1	4.94065645841247e-324	2.87417e-128	16068.27	2393	671	820.65	567
F10	L12	1.89724	1	4.88647589370582e-33	2.313332e-10	24731.19	88	26	810.53	53
F10	L21	1.72286	1	4.91620094461009e-89	6.08331e-13	19292.66	290	58	704.18	85
F10	L28	1.29132	1	3.78695905348781e-14	4.387383e-12	21118.9	177	72	714.01	75
F10	L30	1.62835	1	7.23314869409776e-303	1.238993e-48	19155.22	1251	411	703.13	452
F10	L89	2.02276	1	4.94065645841247e-324	3.990218e-264	22561.4	1384	409	582.47	851
F10	L97	1.35153	1	1.14110068547068e-156	1.517849e-252	22170.71	1488	364	766.56	784
F10	L98	1.08868	1	3.53740529114901e-10	1.178666e-116	19968.25	1158	320	723.82	486
F10	M54	1.11149	1	1.54907332570913e-95	3.48688e-66	16972.21	7438	2608	754.49	1579
F10	M79	1.11866	1	7.02685131461093e-87	8.1229e-123	16180.23	5878	2098	795.93	1127
F10	M80	2.05822	1	4.94065645841247e-324	2.00181e-236	24178.04	1996	1030	625.69	972
F10	M81	1.29135	1	5.23987603843152e-215	0	23093.85	3072	1704	684.52	1262
F10	M84	1.62898	1	4.60740911208507e-143	2.140791e-35	18206.12	547	195	726.6	163
F10	M86	1.32124	1	1.04584973060447e-44	5.340243e-34	19716.6	442	90	774.98	198
F10	M95	1.42583	1	4.80754023721173e-56	2.021632e-19	13216.5	562	157	796.33	75
F10	N17	1.85064	1	4.94065645841247e-324	1.212832e-247	21619.36	2340	614	539.54	1527
F10	N30	1.48979	1	9.88131291682493e-324	0	21273.82	7473	4032	653.04	3291
F10	N39	1.45933	1	4.94065645841247e-324	0	22298.39	5315	2744	661.62	2453
F10	Q40	1.84316	1	3.12231785987091e-81	1.606877e-15	19820.29	204	53	725.72	62
F11	A26	7.15413	1	9.13922176108882e-35	1.957062e-10	nan	nan	nan	nan	nan
F11	A41	4.30767	1	0	2.740911e-24	16722.48	636	272	531.15	297
F11	A46	8.11482	1	0	1.772368e-14	15468.01	535	199	645.29	165
F11	A49	4.60436	1	9.44554030091501e-310	1.717006e-17	16434.38	294	116	604.04	99
F11	B18	30.0415	1	0	2.757837e-48	13413.65	1051	374	613.21	265
F11	B24	16.0887	1	4.3098524342737e-253	1.847856e-09	13488.86	49	24	750.33	21
F11	C22	3.71868	1	2.58781384967308e-26	2.697016e-13	20209.29	28	nan	632.57	nan
F11	D64	3.28651	1	5.3688306886664e-285	8.974504e-11	18588.78	387	194	632.19	187
F11	E86	2.61111	1	8.65093741729272e-142	2.010833e-14	21907.55	402	212	574.8	235
F11	E87	2.48131	1	9.88444419015524e-95	7.891402e-08	19698.36	305	167	462.04	150
F11	F17	4.5554	1	0	4.347761e-23	15781.39	358	168	524.75	93
F11	F19	30.3291	1	0	2.035562e-09	13556.63	514	170	606.76	135
F11	G96	2.16513	1	8.93421648292806e-26	3.283097e-10	17714.9	88	34	699.67	34
F11	I46	4.24553	1	5.33579731582644e-122	2.073295e-44	16475.9	176	57	571.62	148
F11	I87	6.22359	1	2.39645111042488e-103	9.352131e-11	15877.59	70	32	669.66	20
F11	J15	3.43073	1	7.45404693171801e-284	5.816619e-17	18172.69	462	175	541.01	219
F11	J22	3.31837	1	2.89661891189095e-34	1.834902e-08	19575.54	54	21	741	28
F11	J44	3.0455	1	0	5.901637e-13	19961.5	485	234	637.7	250
F11	J96	3.50498	1	0	2.045403e-25	18399.47	547	217	484.64	311
F11	K70	3.46873	1	1.76162624327898e-222	8.50848e-12	16813.1	260	73	591.43	168
F11	K72	4.88229	1	7.12910161140977e-157	4.893767e-22	16104.19	152	49	598.41	119
F11	K74	5.22735	1	5.4290545651142e-181	4.086457e-26	17159.77	149	42	623.98	105
F11	K75	2.8795	1	8.00423509714691e-11	1.130299e-07	15321.18	22	nan	643.14	nan
F11	L97	6.18065	1	7.70485992382809e-316	1.806255e-10	16821.29	143	56	639.57	60
F12	J44	3.84415	1	6.96229573945591e-142	1.110355e-07	16648.32	163	36	629.78	52
F12	J96	2.43025	1	5.90894395150383e-49	9.606185e-09	16092.07	166	34	561.11	76
F13	A41	2.25304	1	3.11867830548084e-68	5.377956e-09	20271.78	383	189	488.51	212
F13	A49	2.34586	1	8.43122586981641e-33	2.519077e-09	19161.26	157	75	607.01	63
F13	D64	1.79697	1	1.44238104073552e-32	3.566216e-08	23606.93	286	185	603.54	150
F13	E86	2.37953	1	1.59066982025858e-83	4.41224e-08	23595.81	427	284	520.3	251
F13	F03	2.75253	1	1.3904894178471e-41	3.36849e-08	27439.24	165	116	572.21	104
F13	I46	3.2951	1	3.17068920750932e-40	1.412861e-12	18553.15	124	49	545.26	101
F17	A04	1.40405	1	3.76546671454293e-35	8.728398e-12	22297.95	683	341	575.75	331
F17	B98	2.00683	1	1.22728819577659e-21	1.250709e-08	17626.19	130	66	527.18	nan
F17	C22	1.6189	1	1.68307836136044e-28	6.868199e-13	23484.59	236	65	478.65	196
F17	E13	1.55068	1	1.18865627795063e-32	1.752069e-10	19906.39	301	103	649.88	114
F17	E41	2.04845	1	7.28488817525689e-41	1.261099e-23	23666.47	214	84	607.89	144
F17	E64	1.54729	1	5.63868627747345e-36	9.878918e-29	21849.52	492	239	622.78	272
F17	E86	1.32669	1	3.0182737095913e-105	2.433729e-68	24067.9	2916	1357	607.18	1814
F17	E87	1.39075	1	1.00227753222458e-117	1.065181e-46	22780.73	2344	1144	611.85	1262
F17	F05	1.71931	1	3.10366191029882e-89	5.884491e-46	23961.06	789	280	592.46	500
F17	G96	1.32669	1	1.10042945907671e-36	8.713194e-20	20443.45	1045	505	675.43	287
F17	J69	1.25912	1	6.63885595171293e-10	1.594909e-17	23074.95	414	134	556.74	288
F17	J96	1.34057	1	7.28579455650232e-131	1.219699e-90	22810.14	3438	1512	592.4	2156
F17	K64	1.56063	1	1.62638724006236e-103	1.216724e-46	17544.89	1256	633	550.97	88
F17	M80	1.25251	1	3.04964309531187e-20	4.795974e-14	25373.88	791	523	691.08	346
F17	M81	1.18048	1	2.42875151758072e-31	2.559403e-24	23614.53	1927	1361	722.02	629
F17	N17	1.22104	1	2.97311594543572e-15	1.655729e-17	22852.85	791	272	567	507
F19	E87	2.63205	1	6.85331646756306e-51	1.260196e-10	19068.2	195	93	639.74	92
F19	I46	3.7841	1	7.66384969973e-44	1.264117e-20	14941.89	103	30	610.46	81
F19	J15	2.57592	1	3.27016495896036e-65	1.505392e-13	17266.46	244	86	657.25	114
F19	J96	2.9736	1	3.41448159284288e-110	1.991555e-14	16151.91	307	105	598.17	147
F19	K72	3.33856	1	1.63902856163837e-30	1.134128e-08	16957.68	73	23	618.22	nan
F19	K74	4.24693	1	8.44964404345418e-49	6.045959e-12	16668.62	78	20	655.76	47
F19	N39	1.64079	1	3.20348713868674e-16	1.588844e-07	18904.18	165	110	839.64	77
F20	A41	2.11593	1	0	1.977712e-30	21466.82	859	392	458.86	478
F20	A49	2.20072	1	3.00764087253566e-198	2.928647e-14	20456.62	368	148	493.42	145
F20	E87	3.27291	1	0	1.561086e-15	20336.34	875	426	450.27	381
F20	G96	2.44316	1	1.94197235834449e-154	2.525463e-12	18564.47	267	115	580.82	76
F20	I46	2.80297	1	8.86234262478511e-177	4.844292e-41	19560.55	298	107	570.72	260
F20	J06	2.23512	1	2.48980793268518e-50	2.618986e-09	14950.86	79	40	663.7	nan
F20	J15	2.5865	1	0	4.871821e-31	21188.14	893	375	485.1	500
F20	J69	4.9496	1	0	7.419924e-09	20751.96	221	71	478.25	130
F20	J96	2.93526	1	0	4.28838e-42	20370.2	1069	469	495.27	652
F20	L89	3.2638	1	1.94474945962525e-207	8.08548e-12	21680.63	222	106	541.45	115
F22	J15	1.69222	1	2.52832693714303e-21	4.021057e-13	24456.85	232	112	506.9	162
F22	J96	1.71979	1	2.03261039016297e-25	2.425589e-16	23218.96	231	124	493.15	164
F23	F20	15.0265	1	0	1.031719e-07	14970.49	272	129	619.36	68
F23	I46	2.03548	1	3.1207636854907e-10	4.269872e-11	20441.58	81	26	565.12	nan
F23	J69	3.53636	1	1.3882445452548e-19	2.631805e-12	19877.67	58	nan	707.4	35
F23	J96	1.57388	1	2.3023089747358e-14	1.194034e-14	20981.33	215	88	610.99	127
F29	A41	1.76119	1	6.09315441091479e-11	1.206945e-14	21053.74	96	53	591.9	56
F29	F20	26.6603	1	0	1.686267e-13	15463.69	190	110	704.94	43
F29	N39	1.69501	1	1.72341194382679e-11	3.651037e-08	23467.6	113	86	674.52	53
F31	A41	1.71246	1	8.6058588343908e-98	1.351407e-26	24493.01	561	339	524.9	332
F31	A49	1.95903	1	4.32688974933576e-67	9.89902e-09	23003.34	224	120	555.06	88
F31	E86	2.45028	1	0	2.158788e-11	25705.01	936	613	509.32	514
F31	I46	1.91442	1	1.20508912254914e-29	2.687137e-28	22126.8	132	63	615.83	105
F31	J15	2.07405	1	5.47411223951949e-167	1.411776e-19	24242.71	544	304	597.89	308
F31	J96	1.89436	1	4.31155443444213e-148	3.19801e-22	22813.31	557	320	564.1	327
F31	L89	1.9438	1	3.11758610970516e-28	2.738827e-08	24582.72	136	85	573.89	81
F32	A04	1.67775	1	5.84017671426342e-104	4.53868e-14	27199.04	1119	719	493.03	721
F32	A41	1.3141	1	1.11047457118299e-139	9.220432e-135	26830.57	4993	2691	579.73	3711
F32	A49	1.31448	1	5.07453068964311e-49	2.245792e-52	26073.94	1867	1039	586.48	1196
F32	F02	3.31264	1	1.21527734020935e-144	1.441721e-12	27305.34	393	217	494.76	252
F32	F20	2.4016	1	3.55899307401534e-141	1.965466e-17	16407.43	529	314	578.87	125
F32	F31	6.25464	1	0	1.150709e-30	22222.92	982	650	615.51	389
F32	F33	6.91124	1	0	2.605413e-130	24159.05	5522	3819	562.99	2328
F32	F34	6.92449	1	0	3.451566e-11	25073.95	915	610	563.27	450
F32	F60	5.92617	1	0	3.613916e-12	15327.1	723	556	508.49	110
F32	G23	2.97653	1	1.05019128365312e-49	1.360361e-08	25560.48	149	81	552.47	84
F32	G30	3.01119	1	0	2.404212e-09	28962.17	1579	1107	434.8	870
F32	G96	2.09631	1	1.66353263516689e-218	8.988721e-34	23846.78	1412	825	565.08	548
F32	J15	1.35047	1	1.52945736176707e-151	9.985978e-95	26930.48	4560	2526	592.41	3335
F32	J22	1.97849	1	1.61272497810774e-137	2.048263e-23	27748.08	806	467	615.76	597
F32	J69	2.38169	1	9.08973419602694e-191	3.681495e-79	26001.9	931	425	614.15	677
F32	J81	1.23849	1	7.51085331799001e-15	7.37589e-37	28151.16	870	519	614.58	756
F32	J96	1.32618	1	1.72783819615055e-137	2.472694e-161	25754.27	4208	2491	600.24	3153
F32	K72	1.44448	1	2.3848551302518e-21	1.548984e-14	21814.17	422	238	583.98	307
F32	K92	1.40754	1	5.51370802058469e-117	2.935338e-10	25549.29	2889	1624	601.45	1811
F32	L89	1.52917	1	7.71227500462486e-69	1.244788e-47	26938.66	1144	715	545.42	854
F32	N17	1.25881	1	1.22843974581541e-20	1.09149e-20	25287.51	1054	552	539.72	724
F33	A41	1.28416	1	2.9232223821495e-61	7.810255e-19	26558.42	2364	1387	530.13	1568
F33	A49	1.38695	1	1.61720950523038e-49	9.347875e-08	25877.56	1206	715	533.1	618
F33	I46	1.3703	1	3.43770819785615e-18	8.118441e-58	24571.57	495	259	634.28	424
F33	J69	2.37372	1	1.26909869773624e-112	1.317421e-12	26074.74	516	249	496.9	355
F33	J96	1.35386	1	6.37889878317056e-88	2.886281e-27	25019.8	2183	1367	549.72	1390
F43	E87	1.22887	1	8.71102326942754e-10	8.939862e-12	20960.87	602	398	545.57	232
F43	F00	2.16198	1	8.90750456609897e-20	8.375824e-10	27156.41	138	98	485.77	52
F43	F03	1.93932	1	8.15801773377881e-36	7.287263e-09	27207.46	323	188	537.3	181
F43	F05	1.80943	1	5.34700172880421e-19	1.67572e-07	24579.49	197	99	464.72	103
F43	F17	1.25969	1	1.1938111863294e-12	3.31122e-10	14974.61	629	407	698.67	74
F43	G30	1.94226	1	1.76332608036166e-10	4.678282e-18	26004.72	92	63	687.77	37
F43	G98	1.91984	1	5.64268823374147e-30	9.292118e-08	15688.65	284	198	624.94	39
F45	E87	1.64799	1	4.92496112265297e-15	8.239943e-09	20298.25	155	109	617.53	55
F45	M81	1.55883	1	1.37347840295574e-15	2.524815e-15	22323.59	172	149	722.19	49
F48	E86	1.69017	1	1.7381556271098e-16	7.357599e-24	25682.5	187	138	610.74	103
F48	F03	2.00794	1	3.35491262594241e-14	3.052741e-11	28230.52	104	84	609.9	61
F48	I69	1.65682	1	6.01623144005562e-14	2.517403e-14	24271.47	150	108	554.33	62
F48	J18	1.37843	1	1.49427259154369e-14	5.077246e-26	23443.7	328	223	685.59	174
F48	K59	2.00195	1	7.94122522476188e-38	5.02055e-09	21198.41	212	163	600.5	71
F48	N30	1.55624	1	3.56433262425739e-19	2.415684e-11	23815.83	242	207	659.21	92
F50	A49	3.37111	1	1.26554495285834e-106	1.670784e-11	11671.25	79	59	671.52	nan
F50	F17	1.99253	1	2.86700054403595e-43	1.175813e-07	10543.4	114	nan	758.61	nan
F50	G56	2.25606	1	4.26060312795954e-62	6.604012e-08	11330.77	62	nan	890.45	0
F50	M81	8.47785	1	0	5.787933e-18	13722.1	186	nan	755.14	28
F50	M85	5.10047	1	7.81515746987583e-160	1.408657e-23	9682.4	102	nan	786.68	nan
F55	I46	5.32822	1	1.50745803144735e-26	3.939192e-08	18070.32	25	nan	609.2	nan
F55	J96	1.8884	1	5.69223153926397e-10	1.571492e-07	18569.25	81	40	567.23	38
F60	A41	2.25489	1	2.14532174968154e-81	2.066797e-17	19907.89	243	145	599.09	124
F60	I46	3.97461	1	3.00546738063001e-64	9.093585e-16	16709.11	70	38	622.26	nan
F60	J96	2.73063	1	5.89731526985406e-139	2.884625e-13	17453.68	259	149	609	109
F60	K64	1.73275	1	6.27156531263143e-14	1.567319e-13	13856.11	74	nan	833.58	nan
F79	A41	2.21502	1	3.66005148951162e-89	1.285473e-27	18030.67	283	119	593.78	146
F79	A49	2.1505	1	7.25364100983469e-38	3.035193e-11	15597.61	127	58	574.91	42
F79	G30	4.51407	1	4.22335026304363e-29	3.853598e-14	21696.62	21	nan	621.38	nan
F79	H57	2.91201	1	2.90053505089958e-54	3.915491e-08	8417.68	135	52	435.99	nan
F79	J15	2.75713	1	1.27735800463101e-137	3.196929e-15	14676.94	291	114	647.81	122
F79	J69	10.8598	1	3.6992651584897e-287	1.195251e-16	16230.22	129	54	627.74	78
F79	J96	2.53534	1	6.44885702054872e-134	3.192737e-18	13690.4	268	109	636.01	127
F83	F71	9.49137	1	4.52747590801191e-32	1.35314e-07	2631.73	37	nan	478.76	0
F98	E66	2.18284	1	3.29397141053054e-76	3.271593e-09	4050.52	322	144	450.4	nan
F99	A41	1.51261	1	1.00040654418906e-15	9.348615e-37	21510.62	263	131	710.14	164
F99	D64	1.46882	1	6.14743300115118e-14	3.888206e-12	22256.25	227	141	623.52	107
F99	E86	1.84469	1	4.26085868019962e-37	7.404184e-19	23340.9	328	212	611.17	184
F99	E87	2.45791	1	2.24571348148232e-64	8.120307e-20	20416.88	259	176	610.23	93
F99	F03	2.72636	1	8.83703606442694e-42	8.422256e-09	26599.68	161	89	523.87	111
F99	F17	1.93872	1	3.12190455017927e-27	3.987449e-27	15630.22	169	90	643.43	24
F99	F20	14.0232	1	0	1.952902e-14	14776.14	420	223	693.02	75
F99	F33	6.18569	1	3.00624470080493e-261	3.712564e-10	16796.87	351	216	533.26	59
F99	I46	2.19745	1	1.68782595552093e-16	2.629342e-19	17617.21	84	26	594.44	nan
F99	I69	1.48514	1	1.31350098630473e-13	5.084825e-11	22932.09	185	99	605.63	89
F99	I99	6.28561	1	4.86695547934926e-64	3.56223e-11	17511.62	71	28	597.77	nan
F99	J15	1.48443	1	2.8237314672557e-12	2.050168e-26	20235.84	213	108	709.41	94
F99	J18	1.51142	1	3.39108307087931e-42	7.418742e-32	20512.96	644	328	710.88	309
F99	J44	1.54446	1	2.15219586288327e-32	7.307929e-20	20890.5	306	173	708.6	114
F99	J69	3.16057	1	2.78926150646422e-20	2.249652e-11	20238.53	59	30	700.08	32
F99	J96	1.84842	1	2.65723747221916e-37	3.631723e-60	19962.63	278	161	682.69	153
F99	K59	1.7963	1	1.52110396328514e-52	1.683225e-08	18612.9	387	231	736.47	120
F99	K70	1.86797	1	1.5151977637221e-19	4.20704e-09	17333.19	126	37	772.24	64
F99	N39	1.58239	1	2.21558713610387e-25	5.060786e-21	20373.98	334	249	689.69	113
G00	G80	3.97044	1	4.89740097947952e-75	8.061936e-08	2206.68	109	50	556.41	nan
G00	H52	2.00321	1	4.70175782991856e-15	7.339036e-13	8829.29	91	42	593.49	nan
G00	H57	2.26283	1	6.18113056562768e-15	6.559784e-11	9910.32	68	32	523.29	nan
G00	H65	2.97543	1	1.59340633188171e-120	5.341211e-10	7848.97	361	157	307.91	31
G00	H90	5.38634	1	5.47466062111436e-296	1.203207e-16	15540.02	362	171	276.8	29
G00	H94	69.3676	1	0	1.211102e-54	15288.74	298	155	272.11	31
G04	G35	7.36857	1	1.82889396237459e-149	2.725508e-11	14829.09	169	119	336.8	nan
G04	N31	9.08434	1	5.3314373891393e-164	1.096942e-10	16545.76	107	53	457.96	nan
G06	G09	126.627	1	1.52747852576929e-243	5.96704e-10	18211.61	72	34	375.96	nan
G06	N31	6.0073	1	2.38921338367601e-65	1.438687e-07	19794.96	70	28	462.39	nan
G10	J18	2.22989	1	1.52671353964302e-74	6.383633e-09	22706.14	98	46	675.14	75
G11	A41	1.78188	1	7.0563775982159e-20	2.19404e-10	22237.49	67	34	652.1	44
G11	J18	1.92688	1	4.66362990345308e-66	1.070093e-15	21921.96	178	80	721.9	107
G11	J69	6.65442	1	1.44466794001717e-49	1.771112e-09	23167.57	21	nan	654.81	nan
G11	J96	3.90563	1	1.26454298947118e-170	1.227071e-17	21258.66	76	37	717.54	53
G12	E64	6.50535	1	0	3.736244e-11	19996.76	85	42	411.44	64
G12	F41	2.62083	1	6.45128262460241e-149	1.811486e-16	24072.14	111	61	489.21	nan
G12	G47	2.41272	1	1.21278151385056e-274	2.342686e-22	21752.46	243	96	504.42	161
G12	G82	32.9387	1	0	5.595734e-20	19717.14	318	116	584.68	207
G12	J15	2.46854	1	0	1.521057e-25	21551.34	301	110	578.87	222
G12	J18	2.18632	1	4.94065645841247e-324	1.281747e-36	21682.27	834	326	527.92	632
G12	J69	5.05726	1	9.95909671831399e-258	8.032817e-08	23602.2	93	25	509.43	nan
G12	J95	9.05009	1	0	4.045345e-12	18909.54	46	nan	748.11	26
G12	J96	11.8138	1	0	4.170961e-148	21912.45	1518	636	414.97	1144
G12	K59	1.58049	1	7.7188283047249e-117	3.480834e-14	22221.85	309	125	622.1	212
G20	A04	1.25755	1	3.8671228977644e-18	1.863216e-15	28631.13	281	111	600.44	204
G20	A41	1.41255	1	1.06558916242725e-271	1.157133e-111	27988.08	1939	609	632.45	1482
G20	A49	1.13703	1	1.00705563958427e-12	1.061422e-27	27994.1	605	186	645.19	372
G20	B96	1.53059	1	8.73740508503217e-19	8.01613e-12	28317.59	102	43	669.49	72
G20	D64	1.07386	1	3.84426324358015e-13	6.370224e-24	28353.72	1925	871	613.63	1425
G20	E20	7.83427	1	0	6.746843e-13	27307.31	205	89	641.9	151
G20	E41	1.99541	1	2.48104545967053e-41	2.188581e-13	27958.54	80	38	629.81	56
G20	E64	1.60689	1	3.13978558220534e-41	5.884278e-13	28072.12	200	93	517.24	152
G20	E86	1.9	1	4.94065645841247e-324	1.210355e-101	28754.43	3686	1642	570.54	2825
G20	F02	32.7444	1	0	4.159106e-168	27594.44	1365	479	602.09	861
G20	F03	2.32774	1	4.94065645841247e-324	3.541575e-18	28468.43	2237	900	481.41	1755
G20	F05	2.05542	1	1.72564098838676e-297	9.937432e-29	28599.26	648	217	587.36	421
G20	G21	35.8472	1	0	1.656945e-45	26814.11	1602	657	594.43	960
G20	G22	43.162	1	0	1.694996e-33	27031.16	446	167	659.98	293
G20	G23	32.8409	1	0	5.635675e-19	25551.95	736	330	490.84	430
G20	G24	10.6614	1	0	1.49288e-13	24361.48	319	169	606.87	125
G20	I46	1.16198	1	3.58039580137815e-10	2.259497e-59	27234.28	327	109	725.42	nan
G20	I95	3.1243	1	4.94065645841247e-324	1.304881e-15	28171.08	1055	430	537.6	597
G20	J15	1.53703	1	4.94065645841247e-324	5.062577e-94	28212.51	1759	532	636.1	1401
G20	J18	1.43746	1	9.88131291682493e-324	8.335134e-73	28246.11	5238	1752	586.4	4168
G20	J22	1.45414	1	3.37647189048026e-34	4.353308e-13	27872.11	187	54	702.96	159
G20	J69	5.44883	1	0	2.756496e-119	27754.44	600	146	680.99	519
G20	J81	1.17572	1	3.96998106013499e-10	1.133463e-27	28851.46	392	156	649.32	361
G20	K56	1.28328	1	6.65509364519862e-44	4.431284e-09	27583.17	604	259	681.62	429
G20	L89	2.44221	1	0	4.494729e-70	28169.05	663	302	657.76	554
G20	N30	1.80123	1	4.94065645841247e-324	1.057149e-23	28211.55	3810	1906	584.7	2632
G20	N39	1.86458	1	4.94065645841247e-324	5.779424e-36	27883.37	2879	1302	623.67	1858
G21	A41	1.55646	1	1.72020930424473e-29	2.274823e-19	27289.95	425	138	622.54	328
G21	F02	23.3516	1	0	2.352901e-11	27307.52	206	75	554.86	158
G21	J15	1.61029	1	6.97716761076375e-30	2.098438e-13	27322.45	366	127	646.92	298
G21	J69	5.85444	1	4.54720479362674e-105	1.835697e-19	26079.16	154	49	610.32	132
G23	J69	13.0581	1	1.71433528000629e-246	9.889233e-15	25638.15	151	50	790.03	nan
G23	J96	2.92363	1	5.87052986733968e-136	3.804071e-12	24117.68	207	96	770.44	171
G24	E86	1.33505	1	9.83594793437119e-16	1.542995e-15	24785.69	313	189	754.19	185
G24	J15	1.32345	1	3.01443528601181e-12	6.514096e-09	22208.25	241	116	783.76	115
G24	J96	1.86372	1	7.24890016662872e-80	1.524389e-08	20814.19	283	151	656.92	169
G25	E86	1.34605	1	6.58139201124269e-26	4.084531e-20	27592.19	699	410	695.71	434
G25	F03	1.62258	1	9.79942166493032e-29	3.048193e-09	28183.72	344	184	578.62	227
G25	F05	1.76624	1	1.4970049867372e-20	4.933021e-14	28200.53	192	96	637.82	130
G25	J69	1.88303	1	3.77572119264151e-13	6.763606e-17	26545.29	100	38	750.69	78
G25	J96	1.44974	1	1.07682487411468e-32	3.696451e-22	25514.92	498	262	698.62	328
G30	J69	2.88486	1	1.83999656571554e-135	2.50352e-13	28644.27	347	142	579.77	315
G31	A41	1.4915	1	1.05219592166432e-48	5.541741e-12	25458.87	880	297	603.15	649
G31	J15	1.52432	1	2.26477618770288e-45	1.506992e-11	25904.97	735	245	612.86	578
G31	J69	4.59938	1	3.56175695857936e-153	2.554682e-17	25177.11	264	74	628.39	216
G31	J96	1.3561	1	6.44359429249906e-24	7.097658e-15	23802.41	629	261	601.38	500
G31	L89	2.41334	1	1.2027132211019e-53	5.211037e-14	25762.73	233	95	702.3	188
G35	A04	1.51718	1	2.86709375664848e-39	7.938029e-15	19344.35	34	nan	651.68	nan
G35	A41	2.99119	1	4.94065645841247e-324	4.533176e-309	20527.88	423	207	744.95	217
G35	A46	1.38486	1	2.7343501917528e-63	2.801346e-58	20909.04	166	89	761.24	44
G35	A49	1.97457	1	1.54452245171081e-313	1.202911e-81	19466.2	114	66	741.02	39
G35	B37	1.34341	1	1.2955336399083e-21	1.968349e-25	19662.24	68	nan	906.66	30
G35	B96	4.99756	1	0	2.585788e-27	22525.79	28	nan	793.07	nan
G35	D35	2.45034	1	8.34438792219051e-181	3.10599e-29	17439.32	97	54	770.1	23
G35	E64	1.38847	1	3.74736696023123e-15	1.493043e-11	17515	35	nan	703.63	nan
G35	E86	2.03056	1	4.94065645841247e-324	2.730126e-176	21733.96	321	219	750.06	160
G35	E87	1.40164	1	3.29635413793638e-94	3.007007e-102	21096.88	148	101	882.36	46
G35	G24	2.02748	1	4.72727730791229e-64	4.615451e-08	18069.33	49	nan	731.67	nan
G35	G40	2.03649	1	0	4.488183e-18	17323.87	357	226	529.52	91
G35	G41	4.63721	1	0	1.356725e-13	17632.53	36	nan	707.14	nan
G35	G50	7.27373	1	0	1.711162e-18	19155.69	141	93	574.58	21
